MOFname,CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_P0.15bar_T298K [kcal/mol],excess_CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_error_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_P0.10bar_T363K [kcal/mol],excess_CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.70bar_T413K [mmol/g],CO2_uptake_error_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_P0.70bar_T413K [kcal/mol],excess_CO2_uptake_P0.70bar_T413K [mmol/g],working_capacity_vacuum_swing [mmol/g],working_capacity_temperature_swing [mmol/g],CO2_binary_uptake_P0.15bar_T298K [mmol/g],CO2_binary_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_binary_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_binary_P0.15bar_T298K [kcal/mol],excess_CO2_binary_uptake_P0.15bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_error_P0.85bar_T298K [mmol/g],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_error_N2_binary_P0.85bar_T298K [kcal/mol],excess_N2_binary_uptake_P0.85bar_T298K [mmol/g],CO2/N2_selectivity,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],largest_free_sphere_diameter(PLD)[A],largest_included_sphere_along_free_sphere_path_diameter(LCD)[A],largest_included_sphere_diameter(GLD)[A],functional_groups,metal_linker,organic_linker1,organic_linker2,topology
str_m7_o9_o11_bcu_sym.29,2.629348,0.097967,7.50561,0.823465,2.629348,0.298903,0.075809,6.525092,2.943927,0.298903,0.607356,0.212082,6.794095,4.171666,0.607356,2.330445,2.021992,2.549881,0.078276,8.151782,0.797098,2.549881,0.268231,0.007529,4.844169,0.547416,0.268231,48.16518995,2625.589087,1602.352783,0,0.14809,0.1461,6.94448,2.7184,6.22616,Pr-F,12,9,11,bcu
str_m5_o4_o17_sra_sym.100,2.603977,0.318487,8.490514,3.177738,2.603811,0.273599,0.052329,7.161805,2.463629,0.273508,0.41426,0.085457,6.817713,2.474219,0.413702,2.330378,2.189717,2.287133,0.105721,7.556471,1.00463,2.286968,0.165918,0.004989,4.229558,0.297211,0.165292,69.84257605,2295.220155,1616.71692,799.13,0.14026,0.1199,4.87997,4.34093,4.82263,HCO-H,9,4,17,sra
str_m3_o41_o41_fof_sym.18,2.845709,0.007725,8.080588,0.071158,2.845709,0.51577,0.141218,7.559909,3.744788,0.51577,0.895966,0.327129,7.763484,5.069788,0.895966,2.329939,1.949743,2.718661,0.080886,6.233393,0.489367,2.718661,0.226202,0.015997,4.439496,0.756797,0.226202,60.89490396,3798.546735,3722.50944,0,0.20634,0.1268,7.79103,3.07221,7.79103,OMe-I,3,41,41,fof
str_m5_o4_o16_sra_sym.25,2.789826,0.002295,8.967221,0.022343,2.789826,0.460035,0.104195,8.411791,3.483672,0.460035,0.683894,0.182187,7.730301,3.681379,0.683894,2.329791,2.105932,2.160466,0.135924,8.969635,1.054124,2.160466,0.129052,0.008119,4.654698,0.511181,0.129052,84.8213206,1858.412121,1299.0829,0,0.10059,0.0867,4.17793,2.64855,4.17027,Cl-OEt,9,4,16,sra
str_m4_o28_o28_acs_sym.38,2.835887,0.063725,7.12516,0.483119,2.83453,0.506108,0.125699,7.239159,3.237583,0.505365,0.782196,0.208374,6.033255,2.777204,0.777627,2.329779,2.053691,2.148655,0.190527,6.905656,1.119663,2.147298,0.349632,0.031003,3.577623,0.529453,0.343377,31.13707746,10325.59227,4380.31004,2328.34,0.30971,0.4397,10.34642,6.56214,10.34515,Pr,4,28,28,acs
str_m2_o1_o14_pcu_sym.79,2.555369,0.020808,7.326755,0.184507,2.555369,0.225688,0.029303,7.096164,1.6554,0.225688,0.473888,0.087724,6.710698,2.18066,0.473888,2.329681,2.081481,2.130083,0.009559,7.218455,0.101321,2.130083,0.20439,0.000419,4.429083,0.020473,0.20439,52.80307517,1129.917297,725.73436,0,0.13107,0.1229,6.04089,2.07431,6.04089,Pr-Et,2,1,14,pcu
str_m5_o4_o18_sra_sym.11,2.852159,0.076561,8.577261,0.691806,2.852159,0.522675,0.148105,7.888004,4.061488,0.522675,0.787184,0.291639,8.382038,5.602694,0.787184,2.329484,2.064975,2.536235,0.024235,8.165799,0.230698,2.536235,0.111932,0.006662,4.707322,1.083223,0.111932,114.804143,2184.480763,1780.2362,0,0.13054,0.0965,3.81434,2.8949,3.81434,I,9,4,18,sra
str_m5_o18_o19_sra_sym.46,2.68163,0.016135,6.022309,0.098098,2.68163,0.352162,0.070551,7.357472,2.65891,0.352162,0.520831,0.13479,6.772722,3.080725,0.520831,2.329468,2.160799,2.440021,0.025619,5.549804,0.156482,2.440021,0.193346,0.005844,4.10059,0.398724,0.193346,63.94118868,2427.581232,1506.32512,0,0.17106,0.166,4.48381,3.1464,4.48121,Cl-CN,9,18,19,sra
str_m3_o14_o14_pcu_sym.221,2.575145,0.516346,6.993887,2.56723,2.574813,0.245774,0.030227,6.311813,1.375123,0.245592,0.588942,0.117986,6.327906,2.20658,0.587823,2.329371,1.986203,2.451968,0.823845,7.212924,4.449049,2.451636,0.302781,0.101733,3.995592,2.287044,0.301417,41.03066088,2266.050037,1450.469693,1248.07,0.20706,0.1948,5.81701,4.789,5.81701,F,3,14,14,pcu
str_m2_o5_o29_pcu_sym.40,2.673901,1.016323,6.299413,4.338516,2.672611,0.34469,0.045926,5.794678,1.351915,0.343984,0.908222,0.200555,5.787118,2.193372,0.90388,2.329211,1.765679,2.570597,0.93266,5.774927,3.760787,2.569307,0.528464,0.191737,3.36056,2.008834,0.522773,24.64568662,1966.337013,895.68804,3084.26,0.35319,0.4669,7.22109,5.55666,7.22109,H,2,5,29,pcu
