MOFname,CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_P0.15bar_T298K [kcal/mol],excess_CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_error_P0.10bar_T363K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_error_CO2_P0.10bar_T363K [kcal/mol],excess_CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.70bar_T413K [mmol/g],CO2_uptake_error_P0.70bar_T413K [mmol/g],heat_adsorption_CO2_P0.70bar_T413K [kcal/mol],heat_adsorption_error_CO2_P0.70bar_T413K [kcal/mol],excess_CO2_uptake_P0.70bar_T413K [mmol/g],working_capacity_vacuum_swing [mmol/g],working_capacity_temperature_swing [mmol/g],CO2_binary_uptake_P0.15bar_T298K [mmol/g],CO2_binary_uptake_error_P0.15bar_T298K [mmol/g],heat_adsorption_CO2_binary_P0.15bar_T298K [kcal/mol],heat_adsorption_error_CO2_binary_P0.15bar_T298K [kcal/mol],excess_CO2_binary_uptake_P0.15bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_error_P0.85bar_T298K [mmol/g],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_error_N2_binary_P0.85bar_T298K [kcal/mol],excess_N2_binary_uptake_P0.85bar_T298K [mmol/g],CO2/N2_selectivity,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],largest_free_sphere_diameter(PLD)[A],largest_included_sphere_along_free_sphere_path_diameter(LCD)[A],largest_included_sphere_diameter(GLD)[A],functional_groups,metal_linker,organic_linker1,organic_linker2,topology
str_m5_o2_o17_sra_sym.101,3.204106,0.111225,7.599545,0.775356,3.203905,0.303577,0.053355,6.776344,2.128368,0.303467,0.769993,0.223525,7.755448,4.026226,0.769315,2.900529,2.434113,3.074012,0.077412,6.404906,0.412005,3.073811,0.257734,0.01007,4.06817,22.97472,0.256979,60.43049863,2242.459392,1426.70707,1092.21,0.1734,0.1641,5.50672,4.19788,5.50672,F,9,2,17,sra
str_m5_o10_o29_sra_sym.207,3.829976,0.015824,6.000792,0.056833,3.829877,0.930447,0.252481,7.965524,3.931467,0.930393,1.059118,0.346798,7.88668,4.627363,1.058783,2.899529,2.770858,3.270795,0.077618,8.062918,0.584281,3.270696,0.233745,0.006175,3.935691,0.216724,0.233745,70.897893,3407.04592,2028.52112,623.63,0.19499,0.1972,5.17468,3.34332,4.95701,Cl,9,10,29,sra
str_m5_o4_o18_sra_sym.95,3.444195,0.059877,8.000686,0.409889,3.444195,0.544778,0.146483,7.697573,3.751617,0.544778,1.06432,0.370039,8.001142,4.992927,1.06432,2.899417,2.379875,3.661746,0.136271,8.495642,0.941135,3.661746,0.136409,0.022019,4.692856,1.686478,0.136409,136.0089613,2179.930734,1492.621246,0,0.12242,0.1077,4.72334,2.32999,4.23285,F-NO2,9,4,18,sra
str_m5_o11_o18_sra_sym.93,3.537169,0.092596,7.878259,0.605467,3.537011,0.638669,0.174867,7.427687,3.672383,0.638583,1.073221,0.364582,7.313884,4.411561,1.072691,2.8985,2.463948,3.252736,0.029664,7.39816,0.225298,3.252579,0.269817,0.014616,4.368496,0.642326,0.269817,61.08039548,2263.435171,1352.57072,1265.72,0.17556,0.1769,5.06577,3.4028,5.06577,COOH,9,11,18,sra
str_m5_o13_o2_sra_sym.8,3.441903,0.01883,7.871486,0.128978,3.441903,0.543955,0.142164,8.834374,4.240706,0.543955,0.796648,0.221966,8.836317,4.466689,0.796648,2.897948,2.645255,2.969938,0.038455,7.782374,0.283566,2.969938,0.108032,0.007685,4.47044,0.789537,0.108032,139.2891538,1944.956382,1320.608406,0,0.12034,0.1067,4.4569,2.98061,3.89243,OMe-F,9,13,2,sra
str_m2_o10_o28_pcu_sym.185,3.299375,0.003854,6.722613,0.030786,3.298917,0.403106,0.069574,6.716679,2.069519,0.402855,0.873123,0.259336,6.997969,3.669557,0.871579,2.896269,2.426252,3.202521,0.021318,6.952962,0.183125,3.202062,0.370487,0.026812,4.266389,0.810307,0.368573,43.7966957,1470.128803,831.60124,1666.43,0.23369,0.2488,5.93289,5.12879,5.91567,HCO,2,10,28,pcu
str_m5_o11_o18_sra_sym.135,3.38464,0.063667,6.937765,0.359806,3.38464,0.488801,0.106536,6.842286,2.668167,0.488801,1.018951,0.331755,7.271915,4.200825,1.018951,2.895839,2.365689,3.345962,0.15808,6.791295,0.911627,3.345962,0.237185,0.002546,4.117919,0.343767,0.237185,71.47532151,2260.120016,1334.32484,0,0.20285,0.2069,4.76389,3.23972,4.76389,Br,9,11,18,sra
str_m5_o11_o18_sra_sym.21,3.404449,0.089897,6.998822,0.551399,3.404225,0.509081,0.095808,7.169693,2.427138,0.508958,0.929427,0.26768,6.817194,3.45404,0.928674,2.895368,2.475022,3.35978,0.038204,6.952115,0.239147,3.359556,0.28927,0.015477,4.336484,0.731825,0.288574,58.84773856,2262.301266,1212.513646,1764.72,0.21601,0.2427,4.73897,3.46784,4.73897,F,9,11,18,sra
str_m3_o40_o41_fof_sym.55,3.404936,0.099708,6.632582,0.539269,3.403992,0.511761,0.15424,6.052224,3.213345,0.511245,0.985968,0.363449,6.878057,4.465734,0.982788,2.893175,2.418968,3.560539,0.105066,6.663055,0.582843,3.559595,0.364937,0.003175,3.991188,0.535105,0.360675,49.43336594,7636.965571,4207.65712,1928.53,0.30325,0.3315,8.99343,3.6533,8.99343,Me,3,40,41,fof
str_m3_o5_o29_pcu_sym.79,3.409508,0.001343,6.765471,0.006958,3.409249,0.516458,0.054512,7.354431,1.40025,0.516316,0.968422,0.265154,7.601799,3.713317,0.96755,2.89305,2.441086,2.837109,0.491205,7.233158,2.29958,2.83685,0.367173,0.063571,4.605756,1.389785,0.366218,39.14962593,2030.696266,1203.56148,1362.73,0.19766,0.2008,5.20888,4.06795,4.9012,OH-Et,3,5,29,pcu
str_m2_o40_o41_fof_sym.48,3.245007,0.04995,6.210936,0.265345,3.244207,0.352115,0.068418,6.513227,2.250794,0.351677,0.846596,0.325847,6.181346,4.126516,0.843903,2.892892,2.398411,2.927568,0.044371,6.386167,0.312256,2.926768,0.389633,0.004032,3.872843,0.093251,0.386069,38.06918613,7756.858593,4313.64432,1878.69,0.28156,0.3049,7.50591,4.09552,7.21963,H-OPr,2,40,41,fof
str_m3_o10_o17_pcu_sym.224,3.456887,0.095325,8.658412,0.746791,3.456755,0.564223,0.114719,7.817419,2.885572,0.564151,0.943021,0.258199,7.658906,3.744589,0.942578,2.892664,2.513866,3.444701,0.012001,7.417914,0.071209,3.444569,0.13364,0.004211,4.994689,0.423737,0.133198,130.598262,989.576043,683.2032,729.96,0.15497,0.1352,4.51273,3.92702,4.51273,OMe,3,10,17,pcu
str_m5_o18_o24_sra_sym.103,3.527797,0.19273,9.309277,1.553943,3.527797,0.636351,0.154647,8.687072,3.871679,0.636351,0.907479,0.263436,8.379893,4.388771,0.907479,2.891446,2.620318,3.382151,0.031578,9.311319,0.220728,3.382151,0.105826,0.006791,4.968246,1.057791,0.105826,161.9283705,2107.548114,1366.6452,0,0.11756,0.1092,3.93563,2.87865,3.92742,H-NO2,9,18,24,sra
str_m5_o13_o18_sra_sym.23,3.39482,0.058901,7.074853,0.36525,3.394659,0.503475,0.106818,7.477401,2.866739,0.503386,0.847678,0.277564,7.25379,4.212896,0.847135,2.891345,2.547142,2.966444,0.033792,7.750807,0.284512,2.966283,0.225346,0.007551,4.349725,0.505087,0.225346,66.69735843,2525.731655,1452.68808,1312.72,0.19223,0.2013,4.84834,3.43865,4.84834,OH,9,13,18,sra
str_m2_o10_o27_pcu_sym.228,3.319179,0.005243,7.407626,0.041435,3.319119,0.427869,0.077878,7.442137,2.446555,0.427836,0.687727,0.181481,8.035051,3.807511,0.687525,2.89131,2.631452,2.486128,0.036531,7.479899,0.323202,2.486068,0.154372,0.001981,4.194419,0.191558,0.15423,81.5975816,1218.035267,767.64692,722.61,0.13584,0.1298,4.39257,3.47696,4.28827,Me-OH,2,10,27,pcu
str_m2_o10_o26_pcu_sym.188,3.404809,1E-06,7.694997,8E-06,3.404809,0.514261,0.087124,7.260736,2.215761,0.514261,0.992398,0.283523,7.679309,3.918923,0.992398,2.890548,2.412411,3.01751,0.005972,8.241748,0.038183,3.01751,0.24378,0.002481,4.742031,0.088878,0.24378,62.71522411,1072.65931,621.58524,0,0.16252,0.1689,4.32467,3.40064,4.32467,Me,2,10,26,pcu
str_m5_o1_o16_sra_sym.55,3.267393,0.030816,7.702209,0.227418,3.267393,0.377146,0.067469,7.023956,2.254986,0.377146,0.825285,0.245127,7.107069,3.734367,0.825285,2.890247,2.442108,2.903683,0.049107,7.381704,0.363502,2.903683,0.292309,0.004146,4.655908,0.214499,0.292309,50.33028017,1932.655025,1174.47708,0,0.16426,0.1628,4.5587,2.88592,4.30267,CN,9,1,16,sra
str_m4_o12_o15_acs_sym.14,3.293699,0.04896,7.829055,0.375298,3.293459,0.404419,0.074864,7.26903,2.424159,0.404288,0.641365,0.196043,7.23516,3.921339,0.640554,2.88928,2.652334,2.945839,0.060391,7.891168,0.506927,2.945598,0.221226,0.010394,4.626248,1.208691,0.220218,67.46758639,2032.947874,1496.81188,898.66,0.15982,0.1307,5.8349,4.28132,5.81759,OH,4,12,15,acs
str_m5_o4_o16_sra_sym.72,3.654314,0.101339,8.952714,0.743805,3.654314,0.765092,0.246205,8.038512,4.709295,0.765092,0.990305,0.326078,8.279478,4.911899,0.990305,2.889222,2.664009,3.09392,0.090468,9.411725,0.852827,3.09392,0.151056,0.017946,4.591738,1.017453,0.151056,103.7751651,1882.213092,1348.63168,0,0.1141,0.0959,4.11266,2.65383,4.06319,NH2-HCO,9,4,16,sra
str_m2_o16_o24_pcu_sym.74,3.330149,0.014986,8.317849,0.139995,3.330149,0.441358,0.094922,6.9269,2.669224,0.441358,0.699937,0.231732,7.303852,4.292807,0.699937,2.888791,2.630212,2.92432,0.148615,8.80176,1.416801,2.92432,0.179324,0.005504,4.695488,0.498834,0.179324,82.62449347,1501.316566,1029.72758,0,0.1357,0.1191,4.78794,3.25218,4.68446,HCO-OH,2,16,24,pcu
str_m3_o10_o17_pcu_sym.111,3.271781,1.009222,7.107971,4.01975,3.271476,0.383958,0.051158,6.904726,1.647715,0.383791,0.739579,0.189496,7.057136,3.195803,0.738553,2.887823,2.532202,2.620919,0.911795,6.884184,4.377859,2.620615,0.42518,0.147916,4.338547,2.60665,0.424046,31.23223795,987.124739,627.09688,1474.58,0.21852,0.2071,4.95145,4.10468,4.9102,OH,3,10,17,pcu
str_m3_o41_o41_fof_sym.94,3.38023,0.013767,6.022824,0.061713,3.37909,0.49379,0.086785,6.819263,2.143455,0.493167,0.927448,0.264967,6.317024,3.140529,0.92361,2.88644,2.452782,3.145143,0.063379,6.822829,0.410295,3.144003,0.425491,0.005468,3.975927,0.587778,0.420268,37.45177031,3819.495252,2127.5916,2039.37,0.33907,0.3666,9.27687,5.03166,9.27687,OH,3,41,41,fof
str_m3_o14_o24_pcu_sym.71,3.312455,0.022547,8.424645,0.16648,3.312377,0.42664,0.074983,8.080327,2.586727,0.426598,0.825871,0.239745,7.713524,4.001885,0.825607,2.885815,2.486584,3.017783,0.069691,8.421797,0.554278,3.017705,0.195868,0.008105,4.923656,0.473896,0.195868,78.06329024,1114.856701,765.30528,645.57,0.12648,0.111,4.44149,3.21605,4.35526,OEt-HCO,3,14,24,pcu
str_m5_o11_o18_sra_sym.160,3.429392,0.035359,7.103151,0.212408,3.429178,0.544591,0.130875,6.956859,2.997013,0.544474,0.948599,0.264303,7.044054,3.467952,0.947879,2.884801,2.480793,3.739822,0.046088,7.21843,0.264644,3.739609,0.259036,0.01116,4.097315,0.433995,0.258361,73.14979951,2260.265634,1245.42284,1616.9,0.2099,0.2294,5.15452,3.47584,5.15452,Cl,9,11,18,sra
str_m5_o16_o19_sra_sym.115,3.393084,0.034056,6.883371,0.195525,3.393084,0.509447,0.097438,7.438657,2.569531,0.509447,1.058945,0.380145,7.938971,5.110694,1.058945,2.883637,2.334139,2.820389,0.016143,7.233064,0.115638,2.820389,0.189107,0.002302,4.512926,0.620639,0.189107,75.56553133,2061.462354,1308.55968,0,0.1363,0.1293,4.30239,2.8355,3.86118,OMe-H,9,16,19,sra
str_m3_o10_o13_pcu_sym.71,3.408118,0.004034,8.065152,0.027616,3.408013,0.525107,0.098825,7.800037,2.664398,0.52505,0.895083,0.251522,7.741452,3.889506,0.89473,2.883011,2.513035,3.140891,0.024242,8.874427,0.210051,3.140786,0.125945,0.005233,4.735192,0.415748,0.12559,126.355534,861.908756,739.14072,693.15,0.14526,0.102,4.56525,3.87205,4.56525,SO3H-NO2,3,10,13,pcu
str_m2_o10_o29_pcu_sym.38,3.304106,0.023418,7.380815,0.147559,3.304023,0.422398,0.074238,7.706916,2.455471,0.422352,0.875836,0.217527,7.873368,3.503258,0.875555,2.881708,2.42827,2.665982,0.998385,8.148195,5.659304,2.665899,0.187686,0.070286,4.985953,3.290846,0.187427,71.96936443,1753.781282,1259.70028,692.03,0.12849,0.1077,4.67907,3.89006,4.67907,NO2-H,2,10,29,pcu
str_m5_o4_o18_sra_sym.35,3.52584,0.015002,8.149513,0.125304,3.52584,0.644267,0.144102,8.040766,3.274229,0.644267,0.916376,0.289512,7.795186,4.406907,0.916376,2.881573,2.609464,3.352995,0.031849,7.482277,0.234653,3.352995,0.124651,0.000361,4.599468,0.251459,0.124651,136.2885817,2197.757766,1452.68808,0,0.13423,0.1223,3.99151,2.93232,3.99151,COOH,9,4,18,sra
str_m3_o40_o41_fof_sym.231,3.333597,0.060253,6.298431,0.330446,3.33267,0.452272,0.136311,5.810999,3.067939,0.451765,0.970779,0.370933,6.616711,4.429276,0.967656,2.881325,2.362818,3.116387,0.188391,7.080029,1.25087,3.115459,0.441928,0.023863,3.75704,0.434012,0.437702,35.72911002,7835.013362,4479.78688,1729.74,0.29561,0.3114,7.92906,4.99006,7.43933,Ph,3,40,41,fof
str_m5_o11_o18_sra_sym.190,3.672875,0.075099,7.73261,0.46673,3.672716,0.792836,0.228341,7.681099,4.008892,0.79275,1.204822,0.424252,8.172313,5.177416,1.204288,2.880039,2.468053,3.483754,0.000628,6.385387,0.001906,3.483596,0.226954,0.015532,4.581929,0.854423,0.226465,77.77355881,2254.47578,1260.6922,1177.27,0.16319,0.1757,4.62206,3.46514,4.62206,Pr,9,11,18,sra
str_m5_o13_o18_sra_sym.34,3.561431,0.025872,8.380614,0.183376,3.561431,0.681618,0.212595,8.331782,4.747343,0.681618,1.041872,0.400772,8.951107,6.254965,1.041872,2.879813,2.519559,3.054261,0.047286,8.652704,0.367757,3.054261,0.180623,0.041603,5.330495,3.934715,0.180623,85.67525952,2507.178657,1564.90072,0,0.1098,0.1059,3.99004,2.584,3.99004,OMe,9,13,18,sra
str_m2_o14_o16_pcu_sym.226,3.130964,0.003532,7.484379,0.023491,3.130638,0.251157,0.02651,6.800231,1.283258,0.250978,0.612457,0.135244,6.477848,2.498428,0.61136,2.879807,2.518507,2.82459,0.029633,7.84791,0.256761,2.824264,0.255074,0.003224,4.379379,0.107804,0.25374,56.10629072,1346.32234,915.6812,1144.11,0.18709,0.1657,6.01911,3.64847,6.01911,NO2-NH2,2,14,16,pcu
str_m3_o40_o41_fof_sym.115,3.356265,0.010301,6.527692,0.059411,3.355658,0.476943,0.143746,6.53507,3.504395,0.476611,0.970776,0.3722,6.349368,4.239424,0.968734,2.879322,2.385489,3.428414,0.025463,6.308957,0.170438,3.427807,0.351141,0.013862,3.781317,0.446694,0.348524,49.46910481,7711.039842,4451.8172,1780.84,0.25379,0.2647,6.42022,4.40874,6.37293,NHMe-OPr,3,40,41,fof
str_m5_o18_o19_sra_sym.93,3.605728,0.057159,7.27929,0.331871,3.60558,0.726831,0.186229,7.898286,3.677761,0.72675,0.940098,0.332378,7.539294,4.7508,0.9396,2.878897,2.66563,3.428454,0.014415,7.280472,0.095069,3.428306,0.213677,0.001053,4.058303,0.14753,0.213214,81.29482162,2441.35387,1344.69264,1252.57,0.18725,0.2047,4.6921,3.39947,4.67922,NH2-Me,9,18,19,sra
str_m5_o18_o22_sra_sym.21,3.74083,0.015627,8.625424,0.140988,3.74083,0.862285,0.294346,8.036796,4.994331,0.862285,1.2429,0.420142,8.14249,4.950014,1.2429,2.878545,2.49793,3.354139,0.051707,8.260056,0.396332,3.354139,0.157637,0.006528,4.772973,0.631785,0.157637,107.8065699,2207.728918,1420.759173,0,0.12773,0.1195,4.06976,2.95188,4.06976,F-OMe,9,18,22,sra
str_m5_o1_o18_sra_sym.16,3.317821,0.052087,8.906222,0.435866,3.317821,0.439381,0.121367,7.928655,3.981648,0.439381,0.818249,0.28064,7.175854,4.359322,0.818249,2.87844,2.499572,2.707316,0.149623,9.397763,1.575022,2.707316,0.165443,0.016553,5.070669,1.433163,0.165443,82.91113999,2316.422204,1824.76384,0,0.10101,0.0772,4.49571,2.96275,4.38473,OMe-NO2,9,1,18,sra
str_m7_o9_o11_bcu_sym.64,3.143262,0.169777,6.934881,1.064849,3.143262,0.265333,0.057065,6.826354,2.625976,0.265333,0.584228,0.212628,6.409731,4.06821,0.584228,2.877929,2.559034,2.869849,0.060315,7.336261,0.498877,2.869849,0.365428,0.018888,4.128448,0.521787,0.365428,39.79051487,2603.928024,1544.21234,0,0.18117,0.184,7.36061,2.63063,7.36061,COOH,12,9,11,bcu
str_m3_o40_o41_fof_sym.61,3.365293,0.089677,6.517107,0.491484,3.364427,0.487735,0.145939,6.656331,3.5517,0.48726,0.942314,0.329828,6.697857,4.114231,0.939396,2.877558,2.422979,3.427796,0.098367,7.485111,0.661785,3.42693,0.439595,0.012091,4.181397,0.381145,0.435661,39.50795558,7601.869981,4543.2616,1730.02,0.29327,0.2955,7.75778,4.04584,7.50196,H-HCO,3,40,41,fof
str_m5_o11_o18_sra_sym.146,3.416632,0.004992,7.538255,0.032665,3.416512,0.540579,0.137103,7.386043,3.380642,0.540513,1.100387,0.401766,7.695992,5.020504,1.099986,2.876053,2.316245,3.517723,0.029031,7.695237,0.174356,3.517604,0.215012,0.007969,4.55341,0.939901,0.214707,82.89365183,2260.312583,1342.36612,1151.88,0.17579,0.1783,4.26158,3.4589,4.26158,Cl-Me,9,11,18,sra
str_m3_o40_o40_fof_sym.4,3.259807,0.0119,6.941819,0.06074,3.258719,0.38455,0.053829,6.529967,1.626184,0.383954,0.972286,0.251625,6.760194,3.07424,0.968623,2.875257,2.287521,2.704228,0.001597,5.992173,0.009052,2.70314,0.421811,0.002551,3.783641,0.059109,0.416827,32.48237212,3779.465554,2067.62268,2038.81,0.32362,0.3562,9.2069,4.48362,9.2069,OMe,3,40,40,fof
str_m5_o16_o16_sra_sym.24,3.369607,0.011355,8.565779,0.077236,3.369607,0.494359,0.148995,7.887855,4.319828,0.494359,0.77341,0.28326,7.755935,5.080029,0.77341,2.875248,2.596197,3.201315,0.008109,7.832877,0.050522,3.201315,0.135087,0.009816,4.71297,0.77944,0.135087,120.0707396,2409.284307,1955.86136,0,0.14474,0.1074,4.06493,3.40119,4.0194,Br,9,16,16,sra
str_m4_o22_o22_acs_sym.36,3.396109,0.088294,8.140531,0.632485,3.395939,0.521131,0.159291,8.020922,4.46244,0.521038,0.880749,0.338968,8.075155,5.583928,0.880176,2.874978,2.51536,3.142653,0.172975,7.644084,1.204382,3.142482,0.249958,0.026782,4.400004,1.031381,0.249288,63.7018027,4181.820268,3098.45568,782.45,0.14213,0.1155,5.75023,3.6734,5.55879,Me,4,22,22,acs
str_m4_o22_o22_acs_sym.26,3.633472,0.055416,7.923241,0.359687,3.633275,0.758806,0.280357,7.516208,5.02101,0.758698,1.159378,0.418771,8.101762,5.259878,1.158715,2.874666,2.474094,3.623317,0.08044,7.824228,0.5008,3.623119,0.228681,0.017243,4.96591,1.014291,0.227887,80.27837672,4161.0619,3170.34456,831.77,0.14975,0.1184,5.96438,3.82161,5.96438,H-OH,4,22,22,acs
str_m3_o10_o29_pcu_sym.46,3.328784,0.975769,7.318416,3.94333,3.328405,0.455062,0.059085,7.146422,1.668451,0.454855,0.910322,0.253638,7.169723,3.537981,0.909047,2.873722,2.418462,3.514293,0.759645,7.247136,2.877051,3.513915,0.373358,0.080705,4.115902,1.523363,0.371927,47.69082543,1825.136554,1063.5142,1792.5,0.22312,0.2306,5.36295,4.66535,5.36295,SO3H,3,10,29,pcu
str_m3_o14_o24_pcu_sym.47,3.370633,0.088442,9.191865,0.756262,3.370548,0.497455,0.11267,7.628913,3.129038,0.497408,0.86373,0.236489,7.68698,3.759962,0.863442,2.873178,2.506903,2.908857,0.0316,7.334281,0.232564,2.908772,0.211827,0.002268,4.811627,0.151812,0.211827,69.57662999,1116.951982,843.349383,750.99,0.14011,0.1117,4.83126,3.42617,4.83126,SO3H-F,3,14,24,pcu
str_m5_o4_o18_sra_sym.81,3.38724,0.024383,8.465806,0.186328,3.38724,0.514845,0.131914,7.636104,3.543407,0.514845,0.924634,0.343469,7.873046,5.239379,0.924634,2.872395,2.462606,3.216631,0.050627,8.345204,0.38877,3.216631,0.140146,0.009536,4.614008,1.026314,0.140146,116.2901336,2176.305315,1592.23432,0,0.13701,0.1128,4.35666,3.06728,4.33059,Br,9,4,18,sra
str_m5_o1_o16_sra_sym.63,3.362241,0.006503,7.08417,0.038149,3.362057,0.490716,0.075201,6.976197,1.917081,0.490616,0.84018,0.234095,6.846631,3.357938,0.839561,2.871525,2.522061,3.362704,0.020682,7.105572,0.126144,3.36252,0.306434,0.005695,4.674312,0.404811,0.306434,55.59990166,1934.135806,1124.45816,1302.28,0.19049,0.1973,4.54044,3.21528,4.41383,H,9,1,16,sra
str_m3_o40_o40_fof_sym.28,3.500467,0.002485,6.35914,0.005999,3.49949,0.629769,0.158075,6.95531,3.129502,0.629234,1.136895,0.361432,6.763635,3.778646,1.133603,2.870698,2.363572,3.180323,0.018052,6.772311,0.104757,3.179346,0.454115,0.005628,3.914264,0.15954,0.449705,35.48360335,3728.534675,2055.78576,2021.15,0.3036,0.3316,8.85685,4.01918,8.83428,Me,3,40,40,fof
str_m4_o22_o24_acs_sym.47,3.271796,0.097449,8.14505,0.758052,3.271607,0.401148,0.13947,7.547522,4.746591,0.401044,0.753322,0.275048,7.033934,4.537052,0.752684,2.870648,2.518474,2.884265,0.187666,8.608438,1.698456,2.884076,0.229223,0.035149,5.375206,5.497332,0.228447,63.75280549,4113.544029,3158.24928,708.3,0.14775,0.1159,5.96356,4.0385,5.9634,OH,4,22,24,acs
str_m7_o9_o24_bcu_sym.175,3.211625,0.03409,7.205773,0.228584,3.211625,0.342048,0.108741,6.703047,3.803299,0.342048,0.621605,0.23414,6.73938,4.458773,0.621605,2.869577,2.59002,2.726127,0.067748,6.673291,0.477307,2.726127,0.28569,0.020628,4.631743,1.068847,0.28569,48.34742833,2599.447542,1640.25664,0,0.16912,0.1614,7.43932,2.246,7.43932,NO2,12,9,24,bcu
str_m3_o40_o41_fof_sym.20,3.406608,0.13354,6.877533,0.800698,3.405882,0.537046,0.171784,7.347387,4.238902,0.536649,1.031662,0.343901,6.611888,3.860934,1.029216,2.869562,2.374946,3.236903,0.028421,6.365052,0.161765,3.236177,0.397531,0.006726,3.700187,0.208374,0.394277,41.25542042,7708.610632,4599.904,1549.16,0.26039,0.2628,7.65593,4.70864,7.65578,Ph-NH2,3,40,41,fof
str_m3_o10_o29_pcu_sym.188,3.239356,1.246708,6.319122,4.408169,3.238602,0.370212,0.044254,6.076866,1.280355,0.3698,0.921277,0.203437,6.243326,2.394853,0.918738,2.869144,2.318079,3.024948,0.973352,6.379464,3.724399,3.024194,0.469387,0.151037,4.102893,2.259313,0.46624,32.651955,1828.21004,939.368726,2589.97,0.28884,0.3385,6.49487,5.14044,6.49474,F,3,10,29,pcu
str_m2_o9_o18_pcu_sym.243,3.169862,0.005659,7.95465,0.042114,3.169862,0.301294,0.043183,7.096408,1.827405,0.301294,0.658342,0.137748,7.148221,2.647864,0.658342,2.868568,2.51152,2.670643,0.0061,7.652534,0.050284,2.670643,0.230198,0.001521,4.524836,0.060641,0.230198,58.78095321,2032.251746,1240.17396,0,0.13897,0.1371,5.28088,2.64866,5.28088,HCO-Pr,2,9,18,pcu
str_m3_o10_o29_pcu_sym.77,3.594081,1.379218,6.80499,4.76829,3.593607,0.725762,0.118303,7.952099,2.357295,0.725503,0.953841,0.210628,6.567447,2.537998,0.952248,2.868319,2.64024,2.916442,1.053429,7.13192,4.724348,2.915968,0.36592,0.132172,4.590085,2.888109,0.363856,40.38215858,1819.804451,959.49412,1288.58,0.22742,0.2598,6.52063,5.12349,6.51793,Et,3,10,29,pcu
str_m5_o18_o19_sra_sym.54,3.645606,0.036165,8.214674,0.22929,3.645606,0.778581,0.250546,7.913315,4.628718,0.778581,1.28035,0.478126,8.540369,5.765557,1.28035,2.867025,2.365256,3.126181,0.07267,9.605091,0.721813,3.126181,0.100784,0.010098,4.827645,1.589562,0.100784,157.1610282,2422.305243,1460.84432,0,0.11319,0.113,4.06897,2.56669,4.0384,OPr-NH2,9,18,19,sra
str_m5_o10_o28_sra_sym.76,3.172704,0.086538,7.070243,0.571377,3.172414,0.30634,0.05384,6.88524,2.166646,0.306181,0.585598,0.132634,6.804694,2.710668,0.584622,2.866364,2.587106,2.529828,0.110249,6.978559,0.915239,2.529538,0.25168,0.009762,3.801922,0.470547,0.250522,50.92893833,2792.15875,1576.78884,1170.92,0.19782,0.211,5.7522,5.34628,5.7522,Me-OPr,9,10,28,sra
str_m2_o1_o5_pcu_sym.14,3.175439,0.101994,7.878502,0.722199,3.175439,0.309207,0.047385,7.866747,2.190031,0.309207,0.687323,0.214374,8.492464,4.785595,0.687323,2.866232,2.488116,3.340106,0.034439,6.935788,0.188317,3.340106,0.10359,0.005177,4.644215,0.493421,0.10359,163.3671564,946.039412,803.58812,0,0.13415,0.0951,4.8278,3.22389,4.8278,SO3H,2,1,5,pcu
str_m3_o10_o29_pcu_sym.23,3.462196,1.218935,6.939484,4.469383,3.461911,0.596262,0.110378,7.762441,2.606836,0.596105,1.117411,0.280475,7.306743,3.256045,1.116449,2.865934,2.344785,3.277348,0.917928,6.573412,3.350475,3.277062,0.271725,0.076106,4.278857,2.065144,0.27057,61.11042365,1824.834762,1079.59804,1208.3,0.17349,0.1766,6.31118,4.94113,6.31118,OEt,3,10,29,pcu
str_m5_o11_o18_sra_sym.105,3.379461,0.001564,7.529321,0.029361,3.379461,0.513954,0.123513,7.568934,3.291199,0.513954,0.803463,0.258553,7.527335,4.316355,0.803463,2.865507,2.575998,2.885615,0.002986,8.271053,0.026761,2.885615,0.209695,0.004118,4.35445,0.159567,0.209695,69.72245086,2267.238439,1440.58972,0,0.14998,0.1421,4.19364,3.30088,4.19364,COOH-H,9,11,18,sra
str_m3_o10_o28_pcu_sym.197,3.137655,0.008804,7.844711,0.04118,3.137573,0.272944,0.030728,7.596394,1.547966,0.272899,0.434065,0.079006,7.969072,2.602205,0.433789,2.864711,2.70359,3.189113,0.272862,8.007247,2.007704,3.189031,0.201043,0.019341,4.873051,1.112951,0.20075,80.37172413,1549.575649,1011.39336,493.5,0.137,0.1264,4.6748,3.85425,4.44685,HCO-OMe,3,10,28,pcu
